bank_id,reporting_year,icp_id,price_eur_per_tco2e,carbon_price_eur_per_tco2e,price_type,scope,application_scope,applies_to_lending_decisions,applies_to_financed_emissions,benchmark_reference,review_frequency,currency
BANK01,2022,ICP-BANK01-2022,42.73,42.73,shadow_price,investment_decisions,investment_decisions,True,True,IEA_NZE,biennial,EUR
BANK01,2023,ICP-BANK01-2023,48.73,48.73,shadow_price,product_pricing,product_pricing,False,False,IEA_NZE,annual,EUR
BANK01,2024,ICP-BANK01-2024,54.73,54.73,internal_charge,investment_decisions,investment_decisions,True,False,internal_model,annual,EUR
BANK02,2022,ICP-BANK02-2022,40.93,40.93,shadow_price,investment_decisions,investment_decisions,True,False,EU_ETS_spot,annual,EUR
BANK02,2023,ICP-BANK02-2023,46.93,46.93,internal_charge,product_pricing,product_pricing,True,False,internal_model,biennial,EUR
BANK02,2024,ICP-BANK02-2024,52.93,52.93,shadow_price,product_pricing,product_pricing,True,True,internal_model,annual,EUR
BANK03,2022,ICP-BANK03-2022,36.61,36.61,internal_charge,investment_decisions,investment_decisions,False,False,internal_model,biennial,EUR
BANK03,2023,ICP-BANK03-2023,42.61,42.61,shadow_price,all,all,False,False,internal_model,biennial,EUR
BANK03,2024,ICP-BANK03-2024,48.61,48.61,internal_charge,capex_appraisal,capex_appraisal,False,False,EU_ETS_spot,biennial,EUR
BANK04,2022,ICP-BANK04-2022,46.46,46.46,shadow_price,capex_appraisal,capex_appraisal,True,True,internal_model,annual,EUR
BANK04,2023,ICP-BANK04-2023,54.46,54.46,shadow_price,all,all,True,True,IEA_NZE,annual,EUR
BANK04,2024,ICP-BANK04-2024,62.46,62.46,shadow_price,investment_decisions,investment_decisions,True,False,IEA_NZE,annual,EUR
BANK05,2022,ICP-BANK05-2022,27.95,27.95,shadow_price,all,all,False,False,EU_ETS_spot,biennial,EUR
BANK05,2023,ICP-BANK05-2023,30.95,30.95,shadow_price,all,all,False,False,NGFS_transition_pathway,biennial,EUR
BANK05,2024,ICP-BANK05-2024,33.95,33.95,shadow_price,capex_appraisal,capex_appraisal,False,False,NGFS_transition_pathway,biennial,EUR
