bank_id,reporting_year,resilience_id,scenario_name,scenario_type,assessment_summary,resilience_rating,capacity_to_adjust,asset_redeployment_capacity,financial_resource_flexibility,significant_uncertainties,assessment_horizon,is_synthetic,data_source
BANK01,2024,RES-BANK01-orderly,orderly,orderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK01,2024,RES-BANK01-disorderly,disorderly,disorderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK01,2024,RES-BANK01-hot_house,hot_house,hot_house,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK02,2024,RES-BANK02-orderly,orderly,orderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK02,2024,RES-BANK02-disorderly,disorderly,disorderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK02,2024,RES-BANK02-hot_house,hot_house,hot_house,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK03,2024,RES-BANK03-orderly,orderly,orderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK03,2024,RES-BANK03-disorderly,disorderly,disorderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK03,2024,RES-BANK03-hot_house,hot_house,hot_house,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
BANK04,2024,RES-BANK04-orderly,orderly,orderly,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 446.47m and opex EUR 6.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
