opportunity_id,bank_id,reporting_year,opportunity_name,opportunity_category,opportunity_type,category,description,financial_impact_meur,estimated_revenue_impact_meur,time_horizon,confidence_level,ifrs_s2_para_evidence,data_source,linked_risk_category
OPP-BANK01-01,BANK01,2024,"Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",Products_and_services,green_loan_growth,Products_and_services,"Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",180.0,180.0,medium_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK01-02,BANK01,2024,Growth in green bond and social bond underwriting and distribution fees as sovereign and corporate issuers accelerate ESG capital market activity.,Products_and_services,sustainable_bond_underwriting,Products_and_services,Growth in green bond and social bond underwriting and distribution fees as sovereign and corporate issuers accelerate ESG capital market activity.,95.0,95.0,short_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK01-03,BANK01,2024,"Fee income from climate risk advisory, transition planning support, and ESG due diligence services offered to large corporate clients.",Products_and_services,transition_advisory,Products_and_services,"Fee income from climate risk advisory, transition planning support, and ESG due diligence services offered to large corporate clients.",42.0,42.0,medium_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK01-04,BANK01,2024,"Project finance for solar, wind, and battery storage infrastructure aligned with REPowerEU and national renewable energy targets.",Products_and_services,renewable_energy_project_finance,Products_and_services,"Project finance for solar, wind, and battery storage infrastructure aligned with REPowerEU and national renewable energy targets.",130.0,130.0,long_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK01-05,BANK01,2024,"Reduction in energy costs from facility EPC upgrades and REC procurement, lowering Scope 2 emissions and operational expenditure.",Resource_efficiency,operational_energy_efficiency,Resource_efficiency,"Reduction in energy costs from facility EPC upgrades and REC procurement, lowering Scope 2 emissions and operational expenditure.",18.0,18.0,short_term,medium,S2.9,bank_strategy_documents,physical_acute
OPP-BANK02-01,BANK02,2024,"Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",Products_and_services,green_loan_growth,Products_and_services,"Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",180.0,180.0,medium_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK02-02,BANK02,2024,Growth in green bond and social bond underwriting and distribution fees as sovereign and corporate issuers accelerate ESG capital market activity.,Products_and_services,sustainable_bond_underwriting,Products_and_services,Growth in green bond and social bond underwriting and distribution fees as sovereign and corporate issuers accelerate ESG capital market activity.,95.0,95.0,short_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK02-03,BANK02,2024,"Fee income from climate risk advisory, transition planning support, and ESG due diligence services offered to large corporate clients.",Products_and_services,transition_advisory,Products_and_services,"Fee income from climate risk advisory, transition planning support, and ESG due diligence services offered to large corporate clients.",42.0,42.0,medium_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK02-04,BANK02,2024,"Project finance for solar, wind, and battery storage infrastructure aligned with REPowerEU and national renewable energy targets.",Products_and_services,renewable_energy_project_finance,Products_and_services,"Project finance for solar, wind, and battery storage infrastructure aligned with REPowerEU and national renewable energy targets.",130.0,130.0,long_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK02-05,BANK02,2024,"Reduction in energy costs from facility EPC upgrades and REC procurement, lowering Scope 2 emissions and operational expenditure.",Resource_efficiency,operational_energy_efficiency,Resource_efficiency,"Reduction in energy costs from facility EPC upgrades and REC procurement, lowering Scope 2 emissions and operational expenditure.",18.0,18.0,short_term,medium,S2.9,bank_strategy_documents,physical_acute
OPP-BANK03-01,BANK03,2024,"Growth of green SME lending under LMA Green Loan Principles, targeting energy-efficient commercial real estate and manufacturing retrofits.",Products_and_services,green_loan_growth,Products_and_services,"Growth of green SME lending under LMA Green Loan Principles, targeting energy-efficient commercial real estate and manufacturing retrofits.",55.0,55.0,medium_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK03-02,BANK03,2024,"Self-issuance of green bonds to fund green loan portfolio, reducing funding cost and improving ESG investor access.",Products_and_services,sustainable_bond_issuance,Products_and_services,"Self-issuance of green bonds to fund green loan portfolio, reducing funding cost and improving ESG investor access.",28.0,28.0,medium_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK03-03,BANK03,2024,Climate transition advisory for mid-market industrial clients subject to ETS obligations and CBAM.,Products_and_services,transition_advisory,Products_and_services,Climate transition advisory for mid-market industrial clients subject to ETS obligations and CBAM.,14.0,14.0,short_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK03-04,BANK03,2024,Project finance for regional renewable energy cooperatives and municipal solar projects.,Products_and_services,renewable_energy_project_finance,Products_and_services,Project finance for regional renewable energy cooperatives and municipal solar projects.,40.0,40.0,long_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK03-05,BANK03,2024,"Energy cost savings from facility LED and HVAC upgrades across branch network, supported by EPC rating improvements.",Resource_efficiency,operational_energy_efficiency,Resource_efficiency,"Energy cost savings from facility LED and HVAC upgrades across branch network, supported by EPC rating improvements.",6.0,6.0,short_term,medium,S2.9,bank_strategy_documents,physical_acute
OPP-BANK04-01,BANK04,2024,Core business expansion: EU Taxonomy-aligned green loans now represent 47% of loan book with strong pipeline growth from SFDR Article 9 fund clients.,Products_and_services,green_loan_growth,Products_and_services,Core business expansion: EU Taxonomy-aligned green loans now represent 47% of loan book with strong pipeline growth from SFDR Article 9 fund clients.,210.0,210.0,short_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK04-02,BANK04,2024,Launch of biodiversity-linked and blue economy financing products addressing emerging EU Nature Restoration Law investment needs.,Products_and_services,impact_investing_products,Products_and_services,Launch of biodiversity-linked and blue economy financing products addressing emerging EU Nature Restoration Law investment needs.,65.0,65.0,medium_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK04-03,BANK04,2024,Premium ESG transition advisory revenue from corporate and institutional clients benchmarking against SBTi pathways.,Products_and_services,transition_advisory,Products_and_services,Premium ESG transition advisory revenue from corporate and institutional clients benchmarking against SBTi pathways.,30.0,30.0,short_term,medium,S2.9,bank_strategy_documents,transition_policy
OPP-BANK04-04,BANK04,2024,"Offshore wind and green hydrogen project finance in the Netherlands and Nordic markets, aligned with REPowerEU hydrogen strategy.",Products_and_services,renewable_energy_project_finance,Products_and_services,"Offshore wind and green hydrogen project finance in the Netherlands and Nordic markets, aligned with REPowerEU hydrogen strategy.",90.0,90.0,long_term,medium,S2.9,bank_strategy_documents,transition_market
OPP-BANK04-05,BANK04,2024,Near-zero operational emissions profile maintained through 100% renewable energy procurement; cost advantage over peers with higher Scope 2 exposure.,Resource_efficiency,operational_energy_efficiency,Resource_efficiency,Near-zero operational emissions profile maintained through 100% renewable energy procurement; cost advantage over peers with higher Scope 2 exposure.,12.0,12.0,short_term,medium,S2.9,bank_strategy_documents,physical_acute
OPP-BANK05-01,BANK05,2024,Early-stage green loan product launch targeting Iberian SME market; green loan share currently below 2% with significant growth headroom.,Products_and_services,green_loan_growth,Products_and_services,Early-stage green loan product launch targeting Iberian SME market; green loan share currently below 2% with significant growth headroom.,12.0,12.0,long_term,low,S2.9,bank_strategy_documents,transition_policy
OPP-BANK05-02,BANK05,2024,Planned issuance of first sustainability bond to access ESG investor base and reduce funding cost premium currently paid versus green peers.,Products_and_services,sustainable_bond_issuance,Products_and_services,Planned issuance of first sustainability bond to access ESG investor base and reduce funding cost premium currently paid versus green peers.,8.0,8.0,long_term,low,S2.9,bank_strategy_documents,transition_market
