risk_id,bank_id,risk_category,risk_rating,risk_name,risk_description,likelihood_score,severity_score,mitigation_actions,reporting_year,time_horizon,financial_impact_meur,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK01-2023-0001,BANK01,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,5,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2023,short_0_2yr,113.1,True,SCN0009,monthly,False,§25(a)
RISK-BANK01-2023-0002,BANK01,transition_reputational,critical,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2023,long_5yr_plus,29.4,True,,quarterly,True,§25(a)
RISK-BANK01-2023-0003,BANK01,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2023,medium_2_5yr,119.3,True,,monthly,False,§25(a)
RISK-BANK01-2023-0004,BANK01,transition_policy,critical,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",5,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,medium_2_5yr,28.9,True,SCN0007,quarterly,True,§25(a)
RISK-BANK01-2023-0005,BANK01,transition_technology,critical,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,5,5,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2023,short_0_2yr,414.2,True,SCN0007,monthly,False,§25(a)
RISK-BANK01-2023-0006,BANK01,physical_acute,high,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,3,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2023,long_5yr_plus,19.4,False,SCN0007,semi_annual,False,§25(a)
RISK-BANK01-2023-0007,BANK01,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,long_5yr_plus,72.8,True,SCN0011,semi_annual,False,§25(a)
RISK-BANK01-2023-0008,BANK01,physical_chronic,critical,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,4,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2023,long_5yr_plus,88.9,True,SCN0005,quarterly,False,§25(a)
RISK-BANK01-2024-0001,BANK01,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,5,3,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2024,long_5yr_plus,24.8,True,SCN0004,quarterly,False,§25(a)
RISK-BANK01-2024-0002,BANK01,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,long_5yr_plus,21.6,False,,semi_annual,False,§25(a)
RISK-BANK01-2024-0003,BANK01,physical_chronic,high,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2024,short_0_2yr,20.6,True,SCN0011,semi_annual,True,§25(a)
RISK-BANK01-2024-0004,BANK01,physical_acute,high,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,3,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2024,short_0_2yr,22.7,False,SCN0002,semi_annual,False,§25(a)
RISK-BANK01-2024-0005,BANK01,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,4,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,long_5yr_plus,136.5,True,,quarterly,False,§25(a)
RISK-BANK01-2024-0006,BANK01,transition_technology,critical,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,4,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,short_0_2yr,165.2,True,SCN0011,quarterly,True,§25(a)
RISK-BANK01-2024-0007,BANK01,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,medium_2_5yr,65.5,True,SCN0013,semi_annual,True,§25(a)
RISK-BANK01-2024-0008,BANK01,transition_policy,critical,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",4,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,67.5,True,,quarterly,True,§25(a)
