scenario_id,scenario_name,scenario_type,bank_id,framework,temperature_outcome_c,horizon,horizon_year,carbon_price_assumption_eur_per_tco2e,physical_risk_loss_pct_capital,transition_risk_loss_pct_capital,resilience_assessment,high_risk_exposure_pct,stranded_assets_estimate_meur,paris_aligned_flag,revenue_at_risk_meur,gdp_growth_assumption_pct,renewable_energy_share_pct,technology_readiness,scope_of_analysis,analysis_conducted_year,methodology_notes,scenario_magnitude_adjusted_flag
SCN0001,Net Zero 2050,orderly,BANK01,NGFS_v4,1.5,short_term,2025,86.3,5.8,15.6,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",34.9,2407.96,True,7240.86,2.22,47.3,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.",True
SCN0002,Net Zero 2050,orderly,BANK01,NGFS_v4,1.5,medium_term,2030,115.8,5.3,15.5,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",15.1,1041.84,True,3644.6,2.16,50.4,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.",True
SCN0003,Net Zero 2050,orderly,BANK01,NGFS_v4,1.5,long_term,2050,224.6,10.3,11.7,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",34.3,2366.56,True,7240.86,2.3,83.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.",True
SCN0004,Below 2°C,orderly,BANK01,NGFS_v4,1.8,short_term,2025,95.6,4.8,12.9,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",20.3,1400.62,False,4899.6,2.49,67.9,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,True
SCN0005,Below 2°C,orderly,BANK01,NGFS_v4,1.8,medium_term,2030,113.8,6.4,15.2,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",10.8,745.16,False,2606.7,2.43,54.3,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,True
SCN0006,Below 2°C,orderly,BANK01,NGFS_v4,1.8,long_term,2050,287.1,9.3,14.5,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term.",28.4,1959.48,False,6854.7,2.47,88.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,True
SCN0007,Divergent Net Zero,disorderly,BANK01,NGFS_v4,1.5,short_term,2025,65.9,7.0,23.1,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions.",18.4,1269.52,False,4441.1,1.57,54.2,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,True
SCN0008,Divergent Net Zero,disorderly,BANK01,NGFS_v4,1.5,medium_term,2030,51.5,10.2,19.5,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions.",5.2,358.78,False,1255.1,1.71,41.1,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,True
SCN0009,Divergent Net Zero,disorderly,BANK01,NGFS_v4,1.5,long_term,2050,68.2,14.4,22.0,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions.",11.6,800.35,False,2799.8,1.67,56.5,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,True
SCN0010,Delayed Transition,disorderly,BANK01,NGFS_v4,1.8,short_term,2025,77.4,6.4,18.3,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions.",19.8,1366.12,False,4779.0,1.11,48.1,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,True
