risk_id,risk_name,risk_category,risk_description,likelihood_score,severity_score,risk_rating,mitigation_actions,bank_id,reporting_year,time_horizon,financial_impact_meur,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK01-2023-0001,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,5,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK01,2023,short_0_2yr,113.1,True,SCN0009,monthly,False,§25(a)
RISK-BANK01-2023-0002,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,critical,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK01,2023,long_5yr_plus,29.4,True,,quarterly,True,§25(a)
RISK-BANK01-2023-0003,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK01,2023,medium_2_5yr,119.3,True,,monthly,False,§25(a)
RISK-BANK01-2023-0004,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",5,3,critical,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK01,2023,medium_2_5yr,28.9,True,SCN0007,quarterly,True,§25(a)
RISK-BANK01-2023-0005,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,5,5,critical,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK01,2023,short_0_2yr,414.2,True,SCN0007,monthly,False,§25(a)
RISK-BANK01-2023-0006,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,3,high,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK01,2023,long_5yr_plus,19.4,False,SCN0007,semi_annual,False,§25(a)
RISK-BANK01-2023-0007,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK01,2023,long_5yr_plus,72.8,True,SCN0011,semi_annual,False,§25(a)
RISK-BANK01-2023-0008,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,4,critical,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK01,2023,long_5yr_plus,88.9,True,SCN0005,quarterly,False,§25(a)
RISK-BANK01-2024-0001,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,5,3,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK01,2024,long_5yr_plus,24.8,True,SCN0004,quarterly,False,§25(a)
RISK-BANK01-2024-0002,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK01,2024,long_5yr_plus,21.6,False,,semi_annual,False,§25(a)
RISK-BANK01-2024-0003,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,3,high,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK01,2024,short_0_2yr,20.6,True,SCN0011,semi_annual,True,§25(a)
RISK-BANK01-2024-0004,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,3,high,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK01,2024,short_0_2yr,22.7,False,SCN0002,semi_annual,False,§25(a)
RISK-BANK01-2024-0005,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,4,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK01,2024,long_5yr_plus,136.5,True,,quarterly,False,§25(a)
RISK-BANK01-2024-0006,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,4,critical,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK01,2024,short_0_2yr,165.2,True,SCN0011,quarterly,True,§25(a)
RISK-BANK01-2024-0007,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,high,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK01,2024,medium_2_5yr,65.5,True,SCN0013,semi_annual,True,§25(a)
RISK-BANK01-2024-0008,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",4,4,critical,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK01,2024,medium_2_5yr,67.5,True,,quarterly,True,§25(a)
